budget_epochs,model,seed,MRR,Hits@1,Hits@3,Hits@10,MedianRank,queries
20,TransE,42,0.17628753229369742,0.07223476297968397,0.18340857787810383,0.40632054176072235,16.0,1772
20,TransE,1337,0.18881509181047226,0.09424379232505643,0.19074492099322798,0.3871331828442438,16.0,1772
20,TransE,2024,0.18362179965279252,0.08577878103837472,0.19130925507900678,0.36738148984198643,18.0,1772
20,DistMult,42,0.15746656330117584,0.06997742663656885,0.1608352144469526,0.33860045146726864,23.0,1772
20,DistMult,1337,0.1595824010215873,0.0682844243792325,0.16252821670428894,0.35891647855530473,21.0,1772
20,DistMult,2024,0.1441746451430498,0.060948081264108354,0.1455981941309255,0.3154627539503386,24.0,1772
20,ComplEx,42,0.13467119224924923,0.0536117381489842,0.13769751693002258,0.304176072234763,26.0,1772
20,ComplEx,1337,0.14597238546473143,0.05812641083521445,0.14221218961625282,0.3295711060948081,22.0,1772
20,ComplEx,2024,0.1431479958384499,0.06376975169300225,0.14051918735891647,0.3098194130925508,25.0,1772
20,RotatE,42,0.18325467248304164,0.08239277652370203,0.19525959367945825,0.3905191873589165,17.0,1772
20,RotatE,1337,0.18194407111866248,0.08239277652370203,0.18905191873589164,0.4018058690744921,16.0,1772
20,RotatE,2024,0.19180187340066202,0.10270880361173815,0.1930022573363431,0.3752821670428894,18.0,1772
60,TransE,42,0.20172653134813928,0.1010158013544018,0.2082392776523702,0.42776523702031605,15.0,1772
60,TransE,1337,0.20761812277713548,0.10609480812641084,0.21218961625282168,0.4322799097065463,14.0,1772
60,TransE,2024,0.20606474147250026,0.11230248306997742,0.2054176072234763,0.417607223476298,16.0,1772
60,DistMult,42,0.1848871004225188,0.08972911963882618,0.1935665914221219,0.3893905191873589,17.5,1772
60,DistMult,1337,0.19364619910999945,0.09932279909706546,0.19130925507900678,0.39954853273137697,16.0,1772
60,DistMult,2024,0.17970666247883177,0.08295711060948081,0.1845372460496614,0.38487584650112866,18.0,1772
60,ComplEx,42,0.16989284928480475,0.07900677200902935,0.1698645598194131,0.37697516930022573,20.0,1772
60,ComplEx,1337,0.18636742309572857,0.08408577878103837,0.2025959367945824,0.40349887133182843,17.0,1772
60,ComplEx,2024,0.169031451759582,0.07223476297968397,0.18002257336343114,0.3752821670428894,19.0,1772
60,RotatE,42,0.1937875108134063,0.09142212189616253,0.20372460496613995,0.4255079006772009,15.0,1772
60,RotatE,1337,0.209710513382491,0.1072234762979684,0.22404063205417607,0.435665914221219,14.0,1772
60,RotatE,2024,0.21405722503344027,0.1100451467268623,0.2229119638826185,0.43340857787810383,14.0,1772
