id,source_term,type,pinyin,label,curated_gloss
PRE_03037,陀僧膏,PRE,Tuoseng Gao,Tuoseng Gao,False
PRE_03038,附子半夏汤,PRE,Fuzibanxia Tang,Fuzibanxia Tang,False
PRE_03039,附子泻心汤,PRE,Fuzixiexin Tang,Fuzixiexin Tang,False
PRE_03040,除湿汤,PRE,Chushi Tang,Chushi Tang,False
PRE_03041,雄砂丸,PRE,Xiongsha Wan,Xiongsha Wan,False
PRE_03042,雄黄退肿药,PRE,Xionghuangtuizhongyao,Xionghuangtuizhongyao,False
PRE_03043,青州白丸子,PRE,Qingzhoubaiwanzi,Qingzhoubaiwanzi,False
PRE_03044,青黛散油膏,PRE,Qingdaisanyou Gao,Qingdaisanyou Gao,False
PRE_03045,韭汁牛乳饮,PRE,Jiuzhiniuru Yin,Jiuzhiniuru Yin,False
PRE_03046,风至宝汤,PRE,Fengzhibao Tang,Fengzhibao Tang,False
PRE_03047,香砂二陈汤,PRE,Xiangshaerchen Tang,Xiangshaerchen Tang,False
PRE_03048,麦门冬汤,PRE,Maimendong Tang,Maimendong Tang,False
PRE_03049,麻杏甘石汤,PRE,Maxingganshi Tang,Maxingganshi Tang,False
PRE_03050,麻黄人参芍药汤,PRE,Mahuangrenshenshaoyao Tang,Mahuangrenshenshaoyao Tang,False
PRE_03051,麻黄附子细辛汤,PRE,Mahuangfuzixixin Tang,Mahuangfuzixixin Tang,False
PRE_03052,黄连白芍汤,PRE,Huanglianbaishao Tang,Huanglianbaishao Tang,False
PRE_03053,龙凤丸,PRE,Longfeng Wan,Longfeng Wan,False
PRE_03054,龙胆丸,PRE,Longdan Wan,Longdan Wan,False
PRE_03055,龙胆汤,PRE,Longdan Tang,Longdan Tang,False
PRE_03056,一扫光疮药方,PRE,Yisaoguangchuangyaofang,Yisaoguangchuangyaofang,False
PRE_03057,一贯煎合益胃汤,PRE,Yiguanjianheyiwei Tang,Yiguanjianheyiwei Tang,False
PRE_03058,丁沉四君药,PRE,Dingchensijunyao,Dingchensijunyao,False
PRE_03059,丁沉透膈汤,PRE,Dingchentouge Tang,Dingchentouge Tang,False
PRE_03060,丁萸理中汤,PRE,Dingyulizhong Tang,Dingyulizhong Tang,False
PRE_03061,丁香炮姜红豆丸,PRE,Dingxiangpaojianghongdou Wan,Dingxiangpaojianghongdou Wan,False
PRE_03062,丁香胶艾汤,PRE,Dingxiangjiaoai Tang,Dingxiangjiaoai Tang,False
PRE_03063,丁香透膈散,PRE,Dingxiangtouge San,Dingxiangtouge San,False
PRE_03064,七味地黄丸,PRE,Qiweidihuang Wan,Qiweidihuang Wan,False
PRE_03065,七味散,PRE,Qiwei San,Qiwei San,False
PRE_03066,七味都气丸,PRE,Qiweidouqi Wan,Qiweidouqi Wan,False
PRE_03067,七宝美髯丹,PRE,Qibaomeirandan,Qibaomeirandan,False
PRE_03068,七气汤,PRE,Qiqi Tang,Qiqi Tang,False
PRE_03069,万应丸,PRE,Wanying Wan,Wanying Wan,False
PRE_03070,三妙丸,PRE,Sanmiao Wan,Sanmiao Wan,False
PRE_03071,三拗汤,PRE,Sanao Tang,Sanao Tang,False
PRE_03072,三油膏,PRE,Sanyou Gao,Sanyou Gao,False
PRE_03073,三甲复脉汤,PRE,Sanjiafumai Tang,Sanjiafumai Tang,False
PRE_03074,三石汤,PRE,Sanshi Tang,Sanshi Tang,False
PRE_03075,三金排石汤,PRE,Sanjinpaishi Tang,Sanjinpaishi Tang,False
PRE_03076,三黄丸,PRE,Sanhuang Wan,Sanhuang Wan,False
PRE_03077,三黄石膏汤,PRE,Sanhuangshigao Tang,Sanhuangshigao Tang,False
PRE_03078,下寿星丸,PRE,Xiashouxing Wan,Xiashouxing Wan,False
PRE_03079,乌梅丸,PRE,Wumei Wan,Wumei Wan,False
PRE_03080,乙保生丹,PRE,Yibaoshengdan,Yibaoshengdan,False
PRE_03081,二冬二母散,PRE,Erdongermu San,Erdongermu San,False
PRE_03082,二妙丸,PRE,Ermiao Wan,Ermiao Wan,False
PRE_03083,二矾散,PRE,Erfan San,Erfan San,False
PRE_03084,二陈芎归汤,PRE,Erchenqionggui Tang,Erchenqionggui Tang,False
PRE_03085,五兽三匮丸,PRE,Wushousankui Wan,Wushousankui Wan,False
PRE_03086,五君子煎,PRE,Wujunzijian,Wujunzijian,False
PRE_03087,五蒸汤,PRE,Wuzheng Tang,Wuzheng Tang,False
PRE_03088,人参乌梅汤,PRE,Renshenwumei Tang,Renshenwumei Tang,False
PRE_03089,人参保元汤,PRE,Renshenbaoyuan Tang,Renshenbaoyuan Tang,False
PRE_03090,人参养营丸,PRE,Renshenyangying Wan,Renshenyangying Wan,False
PRE_03091,人参紫菀散,PRE,Renshenziwan San,Renshenziwan San,False
