node_id,x,y
CAU_00053,0.06398923989851585,0.1037925704352915
SYM_03407,-0.06497930285618272,-0.004997759102910482
CAU_00064,0.3527968041410431,0.25111547762081166
SYM_04891,0.6424488129466562,0.3225407337309682
SYM_03424,0.027605812730023868,-0.048441544163270664
CAU_00020,0.05838904764571423,-0.14224455062776842
SYM_03426,-0.097163086967692,-0.0023737712908267075
SYM_03453,0.191373097362881,-0.03357366447465523
SYM_03564,-0.27095954993569177,-0.36948586642527437
CAU_00099,0.05524960264557106,0.04249041688392735
SYM_03425,0.20959958466551418,-0.03362034049848251
CAU_00103,0.21185350999727082,-0.0050708415545693795
SYM_03430,0.02113538836762959,0.02378363023744234
CAU_00068,0.2774212199432479,-0.014270022165174928
CAU_00025,0.2041469028561175,0.023364674817013452
SYM_03413,0.21508315548587037,-0.06489276219090843
SYM_03578,0.20606801950901407,-0.08562240029898793
CAU_00073,0.2589995236228092,-0.01259939761477443
SYM_03524,0.1740001310271696,-0.05635846004534899
CAU_00139,0.25547957960355017,-0.22723203436272968
SYM_03496,0.23047875213153757,-0.08930178924983566
SYM_04379,0.5027052276996938,-0.40825459363023264
CAU_00150,0.8621848930131096,0.6535423122803788
SYM_03822,0.6621932636430017,0.512355195043589
CAU_00406,-0.21982738942039173,0.48962744186164975
SYM_04341,-0.04421195133302349,0.2749493315434074
CAU_00018,0.08396878539669564,-0.00963819600374166
CAU_00084,0.14589528538365315,-0.12843602969911264
SYM_03727,0.2480166255756682,-0.23995490335824068
SYM_03530,0.13854739894835674,-0.1486111783423498
SYM_04342,0.4374557857542988,-0.21914937561425965
SYM_03812,-0.0023730852071335044,-0.399502768830284
SYM_03409,-0.10648848511670456,-0.00045106051579189187
SYM_03856,0.2790103782078637,-0.21402747072749007
CAU_00048,0.26491697709387446,-0.09535565646651402
SYM_03433,0.22208927363460584,0.06298011531061619
SYM_04659,0.4166974063976339,-0.35241546437530696
CAU_00254,0.17494977742791282,-0.4721292932825363
SYM_04253,0.17038310279012323,-0.3460057324561099
CAU_00036,0.0024791352726386924,0.04013725759816954
SYM_03410,-0.09020855542334257,0.021578640265436152
SYM_03464,-0.056107151520052884,0.010472691440586362
SYM_03462,-0.08359840927553368,0.05734891380697379
SYM_03477,-0.16938483856381661,0.05255120770149313
SYM_03419,0.12908975379718204,-0.06012773239040769
SYM_03574,0.03956655947385478,0.2156345607101672
SYM_03465,0.22013715043268997,0.09110120509158941
SYM_03418,0.14284759393059138,0.019840799169257357
CAU_00060,0.09685362871408228,-0.003774183900630461
CAU_00190,0.47886374107205876,0.07879097648257997
SYM_03515,0.20512490560213528,0.06997314969569347
SYM_04386,0.7582901131270475,0.10107178013167527
CAU_00087,0.046093160710299695,-0.05936337300288401
SYM_03620,0.15459133549725657,0.04448048894070977
SYM_03513,0.18496980239002234,0.0021425191728063732
CAU_00140,0.13899641855255213,-0.010850138417195907
